,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,6636,Polkadot,DOT,polkadot-new,433,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1140718899.0612597,1256742569.3664396,,11,904869778.0,4874873498.086321,,2022-12-01T19:09:00.000Z,5.38737574909516,180298141.36980048,-8.2799,-0.11350927,-0.56635082,0.18039757,-17.30311384,-14.22684999,-26.97392014,6145481333.33716,0.7204,6770544441.06,,2022-12-01T19:09:00.000Z,,,,,,2022-12-01 19:11:17.086910
11,4943,Dai,DAI,multi-collateral-dai,1668,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,5663511314.978935,5663511314.978935,,12,,,,2022-12-01T19:09:00.000Z,0.9992059288767259,299672831.0778684,9.9819,-0.09744518,-0.11660723,-0.12474381,-0.07655469,-0.10081255,-0.03802735,5659014084.187374,0.6633,5659014084.19,,2022-12-01T19:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-12-01 19:11:17.086910
12,2,Litecoin,LTC,litecoin,851,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,71734831.2284131,84000000.0,,13,,,,2022-12-01T19:09:00.000Z,77.58951184874803,728968824.2540333,7.7711,0.02669491,-1.16682215,-0.8513759,40.11855003,46.95017791,26.31822899,5565870537.5648985,0.6523,6517518995.29,,2022-12-01T19:09:00.000Z,,,,,,2022-12-01 19:11:17.086910
13,5994,Shiba Inu,SHIB,shiba-inu,456,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,,14,,,,2022-12-01T19:09:00.000Z,9.175672273752247e-06,127447441.04174577,-23.8481,-0.37425039,-0.57441416,1.91287657,-27.89701263,-17.53649834,-24.58255193,5038024704.5207815,0.5905,5411215367.38,,2022-12-01T19:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2022-12-01 19:11:17.086910
14,1958,TRON,TRX,tron,707,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem']",,92133472366.41443,92133472366.41443,,15,71659659264.0,3887976991.433801,,2022-12-01T19:09:00.000Z,0.05425614678281093,208755257.80153993,-1.4606,-0.23182407,-0.03021462,2.64426316,-13.67585087,-12.0004241,-13.51039975,4998807200.322236,0.5859,4998807200.32,,2022-12-01T19:09:00.000Z,,,,,,2022-12-01 19:11:17.086910
0,1,Bitcoin,BTC,bitcoin,9864,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19221843.0,19221843.0,,1,,,,2022-12-01T19:10:00.000Z,16926.214250717167,25788654217.153126,-2.1519,-0.31399587,-0.29178505,2.09515003,-17.34367667,-12.27056917,-15.25863243,325353032911.648,38.1441,355450499265.06,,2022-12-01T19:10:00.000Z,,,,,,2022-12-01 19:12:18.105161
1,1027,Ethereum,ETH,ethereum,6244,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2022-12-01T19:10:00.000Z,1273.5473806471518,7920988849.007568,-9.8211,-0.18778348,-0.75135632,5.887225,-19.58596908,-2.37979381,-19.43355866,155848916781.34418,18.2684,155848916781.34,,2022-12-01T19:10:00.000Z,,,,,,2022-12-01 19:12:18.105161
2,825,Tether,USDT,tether,43480,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,65362681003.3144,73141766321.23428,,3,,,,2022-12-01T19:10:00.000Z,1.0000499583687503,33508560949.065956,-0.3761,0.00121308,0.00811275,0.06410011,0.0111128,0.00466987,-0.0016383,65365946416.234474,7.6621,73145420364.57,,2022-12-01T19:10:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-12-01 19:12:18.105161
3,1839,BNB,BNB,bnb,1148,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",200000000.0,159970489.96763322,159979963.59042934,,4,,,,2022-12-01T19:10:00.000Z,291.4897729586722,1492276132.0314012,62.041,-0.28146675,-2.43850933,-2.57986482,-10.27798244,2.02720145,5.00868415,46629761800.75295,5.4668,58297954591.73,,2022-12-01T19:10:00.000Z,,,,,,2022-12-01 19:12:18.105161
4,3408,USD Coin,USDC,usd-coin,8110,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,43080698920.59752,43080698920.59752,,5,,,,2022-12-01T19:10:00.000Z,0.9999038232057885,2857394702.3853397,-5.1541,-0.02302982,-0.03389206,-0.01869333,-0.01334451,-0.03241406,-0.0070227,43076555557.08295,5.0494,43076555557.08,,2022-12-01T19:10:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-12-01 19:12:18.105161
5,4687,Binance USD,BUSD,binance-usd,5652,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin']",,22234030899.889256,22234030899.889256,,6,,,,2022-12-01T19:10:00.000Z,0.9996321181251928,8398531977.003908,6.5117,-0.07461142,-0.04317882,-0.10143432,-0.04231758,-0.12815027,-0.04258837,22225851402.917282,2.6053,22225851402.92,,2022-12-01T19:10:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2022-12-01 19:12:18.105161
6,52,XRP,XRP,xrp,852,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50290028663.0,99989207174.0,,7,,,,2022-12-01T19:10:00.000Z,0.3957915311940504,831949364.3596811,-10.246,-0.42013567,-1.52068326,-0.54082926,-14.52117806,-14.322454,20.50133417,19904367448.321453,2.3331,39579153119.41,,2022-12-01T19:10:00.000Z,,,,,,2022-12-01 19:12:18.105161
7,74,Dogecoin,DOGE,dogecoin,606,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,8,,,,2022-12-01T19:10:00.000Z,0.10147689369278248,1041774108.1031481,-15.733,-0.6636977,-2.11165723,24.75477952,-27.54111858,68.47441106,65.01205253,13463017045.000553,1.5784,13463017045.0,,2022-12-01T19:10:00.000Z,,,,,,2022-12-01 19:12:18.105161
8,2010,Cardano,ADA,cardano,601,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34446662741.285,35193805106.495,,9,,,,2022-12-01T19:10:00.000Z,0.3148603160500021,231507833.33979028,-3.5846,-0.49471889,0.04477124,-0.20428868,-22.04477428,-26.44960705,-30.7329749,10845887117.588827,1.2713,14168714222.25,,2022-12-01T19:10:00.000Z,,,,,,2022-12-01 19:12:18.105161
9,3890,Polygon,MATIC,polygon,538,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,8734317475.28493,10000000000.0,,10,,,,2022-12-01T19:10:00.000Z,0.9193329600081129,562827022.1859498,60.1401,-0.72850978,2.85107728,8.06928057,4.17597976,17.91112456,5.19501097,8029745938.204282,0.9414,9193329600.08,,2022-12-01T19:10:00.000Z,,,,,,2022-12-01 19:12:18.105161
10,6636,Polkadot,DOT,polkadot-new,433,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1140718899.0612597,1256742569.3664396,,11,904869778.0,4873413686.718763,,2022-12-01T19:10:00.000Z,5.385762465722181,180234472.6453951,-8.461,-0.13865364,-0.58890444,0.17060638,-17.34747533,-14.50655869,-26.97569804,6143641030.504063,0.7202,6768516959.17,,2022-12-01T19:10:00.000Z,,,,,,2022-12-01 19:12:18.105161
11,4943,Dai,DAI,multi-collateral-dai,1668,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,5663511314.978935,5663511314.978935,,12,,,,2022-12-01T19:10:00.000Z,0.9993709412259875,299756715.3608436,10.0009,-0.08444045,-0.10271565,-0.10650628,-0.08276508,-0.07132414,-0.00421231,5659948633.494529,0.6634,5659948633.49,,2022-12-01T19:10:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-12-01 19:12:18.105161
12,2,Litecoin,LTC,litecoin,851,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,71734831.2284131,84000000.0,,13,,,,2022-12-01T19:10:00.000Z,77.55253664919503,728396669.7765313,7.8279,-0.06123248,-1.29393805,-0.8986062,39.99459843,46.4496926,26.14717793,5563218127.865328,0.6522,6514413078.53,,2022-12-01T19:10:00.000Z,,,,,,2022-12-01 19:12:18.105161
